Key	Type	Desc	English	German	French (France)	Portuguese (Brazil)	Italian (Italy)	Japanese	Korean	Russian	Spanish	Ukrainian	Chinese (Simplified)	Chinese (Traditional)	Thai
Items/PandoriumOreDesc	Text		An ore brimming with chaotic potential. Can be found growing on fossil ground.	Ein Erz, das vor chaotischem Potenzial nur so strotzt. Kann auf fossilen Böden wachsen.	Un minerai débordant d’un potentiel chaotique. Il pousse sur les sols fossilisés.	Um minério que transborda um potencial caótico. Pode ser encontrado se formando em solo de fóssil.	Un minerale pregno di un potenziale caotico. Cresce sul terreno ricoperto di fossili.	混沌としたエネルギーを秘めている鉱石。化石の地面で成長する。	혼돈의 잠재력으로 가득한 광석입니다. 화석 바닥에서 생성됩니다.	Руда, переполненная энергией хаоса. Можно найти на окаменелой почве.	Un mineral rebosante de potencial caótico. Puede crecer en suelo fósil.	Руда з хаотичним потенціалом. Можна знайти на землі з копалин.	充满混沌潜力的矿石。生长在化石地面上。	一種散發出混亂潛能的礦石，可在充滿化石的地面上尋獲。	แร่ที่เอ่อล้นไปด้วยศักยภาพโกลาหล สามารถพบได้บนพื้นฟอสซิล
Items/PandoriumPantsArmor	Text		Pandorium Pants	Pandorium-Hose	Jambières de pandorium	Calça de Pandorium	Pantaloni di pandorium	パンドリウムのズボン	팬더리움 바지	Пандориевые поножи	Pantalón de pandorium	Поножі з пандоріума	潘多拉裤子	潘多拉褲子	กางเกงแพนดอเรียม
Items/PandoriumPantsArmorDesc	Text		Light and breathable leg armor. When worn, you can sense the smallest tremors beneath your feet.	Leichte und atmungsaktive Beinpanzerung. Wenn man sie trägt, kann man die kleinsten Erschütterungen unter den Füßen spüren.	Des jambières légères et respirables. Lorsqu’on les porte, on peut sentir les moindres tremblements sous ses pieds.	Uma proteção de pernas leve e arejada. Até o menor dos tremores na planta do pé tornam-se perceptíveis.	Un'armatura per le gambe leggera e traspirante. Indossandola, riesci a percepire i più lievi tremori che originano sotto ai tuoi piedi.	通気性のある軽い脚用防具。着用すると、どんなにかすかな地響きも感じ取れるようになる。	가볍고 공기가 잘 통하는 다리 방어구입니다. 착용하면 발밑에서 일어나는 아무리 작은 진동도 느낄 수 있습니다.	Легкие латы для ног, пропускающие воздух. В этих поножах ты чувствуешь даже самую незаметную вибрацию земли.	Armadura para las piernas ligera y transpirable. Cuando lo llevas, puedes sentir hasta el más leve temblor bajo tus pies.	Легка й броня, в якій дихає шкіра. У них можна відчути найменше тремтіння під ногами.	轻便透气的腿部护甲。穿上它后，你可以感觉到脚下极小的振动。	輕盈、涼爽的腿甲。配戴時，會感覺到腳底有微弱的震動。	เกราะขาที่มีน้ำหนักเบาและระบายอากาศได้ดี ฝ่าเท้าของคุณสัมผัสได้แม้แต่การสั่นสะเทือนที่เบาที่สุดเมื่อสวมใส่
Items/ParasiteFossil	Text		Parasite Fossil	Parasiten-Fossil	Parasite fossilisé	Fóssil de Parasita	Fossile di parassita	寄生虫の化石	기생충 화석	Окаменелость паразита	Fósil de parásito	Паразит-копалина	寄生虫化石	寄生蟲化石	ฟอสซิลปรสิต
Items/ParasiteFossilDesc	Text		The petrified remains of an ancient parasite, it is uncertain if it's really dead.	Die versteinerten Überreste eines prähistorischen Parasiten. Du bist nicht sicher, ob er wirklich tot ist.	Les restes pétrifiés d’un ancien parasite. Il n’est pas certain qu’il soit vraiment mort.	Os restos petrificados de um parasita ancestral. Não se sabe se está mesmo morto.	I resti pietrificati di un antico parassita. Non si sa con certezza se sia davvero morto.	古代の寄生虫が化石になったもの。死んでいるのかどうか定かではない。	고대 기생충이 석화된 잔해로 정말 죽었는지는 불확실합니다.	Окаменелые останки древнего паразита. Неизвестно, точно ли он мертв.	Los restos petrificados de un antiguo parásito; no es seguro que esté realmente muerto.	Скам'янілі залишки стародавнього паразита. Він точно мертвий?	一只上古时代的寄生虫，如今已经变成了化石，也不知道究竟死了没有。	古代寄生蟲的石化殘骸，不確定是否真的死了。	ซากปรสิตโบราณที่แข็งเป็นหิน ไม่แน่ใจว่ามันตายสนิทแล้วหรือยัง
Items/ParsecPalsDolls	Text		Mysterious Doll Set	Mysteriöses Puppenpaar	Paire de mystérieuses poupées	Conjunto de Bonecos Misteriosos	Set di bambole misterioso	謎の人形セット	수수께끼의 인형 세트	Таинственные куклы	Misterioso conjunto de muñecas	Таємничий набір ляльок	一对神秘人偶	一對神祕人偶	ชุดตุ๊กตาลึกลับ
Items/ParsecPalsDollsDesc	Text		A pair of green dolls wearing clothes, sitting together they look like great pals.	Zwei grüne Püppchen, die Kleidung tragen. Wie sie so zusammensitzen, sehen sie wie gute Kumpel aus.	Deux poupées vertes habillées, comme cul et chemise.	Um par de bonecos verdes vestidos. Juntinhos assim, parecem grandes amigos.	Un paio di bambole verdi con indosso dei vestiti sedute l'una affianco all'altra. Sembrano grandi amiche.	服を着た緑色の人形2体セット。並んで座らせるとすごくお似合いだ。	옷을 입고 있는 한 쌍의 녹색 인형으로 함께 앉아 있어 아주 좋은 친구처럼 보입니다.	Пара нарядных зеленых кукол, сидящих вместе. Две подружки.	Una pareja de muñecas verdes vestidas que sentadas juntas parecen grandes amigas.	Пара зелених одягнених ляльок, що сидять разом. Виглядають як чудові друзі.	两个穿着衣服的绿色人偶，并排坐在一起。似乎是一对非常要好的朋友。	兩個穿著衣服的綠色人偶，就像好朋友一樣肩並肩地坐著。	ตุ๊กตาคู่สีเขียวใส่ชุดสวย นั่งคู่กันราวกับเป็นเพื่อนสนิท
Items/PassageChest	Text		Cultist Chest	Kultistenkiste	Coffre cultiste	Baú de Cultista	Forziere del seguace	崇拝者の宝箱	교단원 상자	Сундук культистов	Cofre de sectario	Скриня культиста	邪教徒箱子	邪教徒寶箱	หีบสาวก
Items/PassageChestDesc	Text		An old chest used to store a variety of mischievous goods.	Eine alte Kiste, in der allerlei Plunder aufbewahrt wurde.	Un vieux coffre utilisé pour conserver une variété de biens maléfiques.	Um baú velho usado para armazenar uma série de materiais maliciosos.	Un vecchio forziere utilizzato per depositare un'ampia varietà di risorse malefiche.	さまざまなイタズラグッズをしまっておくのに使われる古びた宝箱。	갖가지 해로운 물건을 보관하는 데 쓰이는 오래된 상자입니다.	Старинный сундук для хранения разных плутовских вещиц.	Un viejo cofre empleado para almacenar diversos elementos para hacer el mal.	Стара скриня, в якій зберігаються різноманітні речі.	一个旧箱子，曾用来存放各种饱含恶意的物品。	一個用於存放各種邪惡物品的古老寶箱。	หีบเก่าที่เคยใช้เก็บสิ่งของจิปาถะต่างๆ
Items/PassageCraftingStatue	Text		Rift Statue	Riss-Statue	Statue fissurée	Estátua da Fenda	Statua del varco	亀裂の像	균열 조각상	Статуя разлома	Estatua de fisura	Статуя розлому	裂缝雕像	裂痕雕像	รูปปั้นรอยแยก
Items/PassageCraftingStatueDesc	Text		This statue opens a rift to a mysterious entity. It seems willing to trade.	Diese Statue öffnet einen Riss zu einer geheimnisvollen Entität. Sie scheint zum Handel bereit zu sein.	Cette statue ouvre une brèche vers une entité mystérieuse. Elle semble disposée à faire des échanges.	Esta estátua abre uma fenda de acesso a uma entidade misteriosa. Parece disposta a uma troca.	Questa statua apre un varco a una misteriosa entità. Sembra che abbia voglia di scambiare risorse.	謎の実体との亀裂を開く像。取引を望んでいるようだ。	이 조각상은 수수께끼의 존재로 이어지는 균열을 엽니다. 그 존재가 거래를 하고 싶은 듯합니다.	Эта статуя открывает разлом, ведущий к таинственной сущности, которая, кажется, хочет заключить сделку.	Esta estatua abre una fisura a una misteriosa entidad. Parece dispuesta a comerciar.	Ця статуя відкриває прохід до таємничої сутності. Здається, вона хоче поторгувати.	这座雕像打开了通往神秘实体的裂缝。它似乎愿意交换。	雕像向一個神祕的實體開啟一道裂痕，似乎很願意進行交易。	รูปปั้นนี้เปิดรอยแยกให้กับตัวตนลึกลับ ดูพร้อมที่จะแลกเปลี่ยน
